DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE
2021-12-13 00:00:00,2.7,2584.8,300,-8.8,45,839
2021-12-13 00:15:00,2.9,5302.0,296,-9.0,45,839
2021-12-13 00:30:00,3.1,6750.0,289,-9.1,45,839
2021-12-13 00:45:00,3.2,8197.0,281,-9.2,46,839
2021-12-13 01:00:00,3.4,9645.0,274,-9.3,46,839
2021-12-13 01:15:00,3.6,11089.0,270,-9.5,46,839
2021-12-13 01:30:00,3.8,12528.0,270,-9.6,47,839
2021-12-13 01:45:00,3.9,13968.0,270,-9.7,47,839
2021-12-13 02:00:00,4.1,15407.0,270,-9.8,48,839
2021-12-13 02:15:00,4.2,17201.0,270,-10.0,48,839
2021-12-13 02:30:00,4.3,19348.0,270,-10.2,49,839
2021-12-13 02:45:00,4.3,21495.0,270,-10.3,50,838
2021-12-13 03:00:00,4.4,23642.0,270,-10.5,51,838
2021-12-13 03:15:00,4.4,25569.0,270,-10.7,51,838
2021-12-13 03:30:00,4.5,27276.0,270,-10.8,51,838
2021-12-13 03:45:00,4.6,28983.0,270,-11.0,51,838
2021-12-13 04:00:00,4.7,30690.0,270,-11.1,51,838
2021-12-13 04:15:00,4.7,32498.0,270,-11.3,51,838
2021-12-13 04:30:00,4.8,34407.0,270,-11.4,50,838
2021-12-13 04:45:00,4.8,36317.0,270,-11.5,49,838
2021-12-13 05:00:00,4.9,38226.0,270,-11.6,48,838
2021-12-13 05:15:00,4.9,39721.0,270,-11.7,47,838
2021-12-13 05:30:00,5.0,40802.0,270,-11.7,46,838
2021-12-13 05:45:00,5.1,41883.0,270,-11.8,44,838
2021-12-13 06:00:00,5.2,42964.0,270,-11.8,43,838
2021-12-13 06:15:00,5.2,44653.0,270,-11.8,42,838
2021-12-13 06:30:00,5.3,46950.0,270,-11.9,41,838
2021-12-13 06:45:00,5.4,49247.0,270,-11.9,40,838
2021-12-13 07:00:00,5.5,51544.0,270,-12.0,39,838
2021-12-13 07:15:00,5.5,54018.0,270,-12.0,39,838
2021-12-13 07:30:00,5.6,56668.0,270,-12.1,39,838
2021-12-13 07:45:00,5.7,59317.0,270,-12.1,39,838
2021-12-13 08:00:00,5.8,61967.0,270,-12.2,39,838
2021-12-13 08:15:00,5.9,64592.0,270,-12.2,39,838
2021-12-13 08:30:00,6.0,67191.0,270,-12.3,40,838
2021-12-13 08:45:00,6.1,69790.0,270,-12.4,41,838
2021-12-13 09:00:00,6.2,72389.0,270,-12.5,42,838
2021-12-13 09:15:00,6.3,75314.0,270,-12.3,42,838
2021-12-13 09:30:00,6.4,78565.0,270,-11.9,41,838
2021-12-13 09:45:00,6.5,81815.0,270,-11.5,40,838
2021-12-13 10:00:00,6.6,85066.0,270,-11.1,39,838
2021-12-13 10:15:00,6.8,89561.0,270,-10.6,37,838
2021-12-13 10:30:00,6.9,95301.0,270,-10.0,36,838
2021-12-13 10:45:00,7.1,101042.0,270,-9.4,35,838
2021-12-13 11:00:00,7.2,106782.0,270,-8.8,34,838
2021-12-13 11:15:00,7.3,108844.0,270,-8.3,33,838
2021-12-13 11:30:00,7.4,107228.0,270,-7.9,32,838
2021-12-13 11:45:00,7.5,105611.0,270,-7.4,31,838
2021-12-13 12:00:00,7.6,103995.0,270,-7.0,30,838
2021-12-13 12:15:00,7.7,105711.0,270,-6.6,30,838
2021-12-13 12:30:00,7.8,110760.0,270,-6.3,30,838
2021-12-13 12:45:00,7.9,115809.0,270,-6.0,29,837
2021-12-13 13:00:00,8.0,120858.0,270,-5.7,29,837
2021-12-13 13:15:00,8.1,125905.0,270,-5.4,29,837
2021-12-13 13:30:00,8.2,130950.0,270,-5.2,29,837
2021-12-13 13:45:00,8.3,135996.0,270,-4.9,29,837
2021-12-13 14:00:00,8.4,141041.0,270,-4.7,29,837
2021-12-13 14:15:00,8.5,144140.0,270,-4.6,29,837
2021-12-13 14:30:00,8.5,145291.0,270,-4.5,29,837
2021-12-13 14:45:00,8.4,146443.0,270,-4.4,29,837
2021-12-13 15:00:00,8.4,147594.0,270,-4.3,29,837
2021-12-13 15:15:00,8.4,148052.0,270,-4.3,29,837
2021-12-13 15:30:00,8.4,147816.0,270,-4.4,29,837
