DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE
2021-11-18 00:00:00,2.0,5957.0,38,1.7,20,831
2021-11-18 00:15:00,2.0,6342.0,19,1.4,20,831
2021-11-18 00:30:00,2.1,6658.0,356,1.1,20,831
2021-11-18 00:45:00,2.2,6974.0,334,0.8,21,831
2021-11-18 01:00:00,2.3,7290.0,311,0.5,21,831
2021-11-18 01:15:00,2.6,7670.0,300,0.3,21,831
2021-11-18 01:30:00,2.9,8116.0,300,0.2,21,831
2021-11-18 01:45:00,3.2,8562.0,300,0.2,22,830
2021-11-18 02:00:00,3.5,9007.0,300,0.1,22,830
2021-11-18 02:15:00,3.6,8886.0,300,0.2,22,830
2021-11-18 02:30:00,3.5,8198.0,300,0.3,22,830
2021-11-18 02:45:00,3.4,7510.0,300,0.5,21,830
2021-11-18 03:00:00,3.3,6822.0,300,0.6,21,830
2021-11-18 03:15:00,3.2,6106.0,300,0.7,21,830
2021-11-18 03:30:00,3.1,5360.0,300,0.6,21,830
2021-11-18 03:45:00,3.0,4615.0,300,0.5,22,829
2021-11-18 04:00:00,2.9,3870.0,300,0.4,22,829
2021-11-18 04:15:00,2.9,3378.0,300,0.3,22,829
2021-11-18 04:30:00,2.8,3139.0,300,0.1,22,829
2021-11-18 04:45:00,2.7,2902.0,300,-0.1,23,828
2021-11-18 05:00:00,2.6,2663.0,300,-0.3,23,828
2021-11-18 05:15:00,2.6,2436.0,300,-0.4,23,828
2021-11-18 05:30:00,2.6,2219.0,300,-0.5,23,828
2021-11-18 05:45:00,2.6,2002.0,300,-0.6,24,828
2021-11-18 06:00:00,2.6,1786.0,300,-0.7,24,828
2021-11-18 06:15:00,2.6,1676.0,300,-0.8,24,828
2021-11-18 06:30:00,2.6,1675.0,300,-0.7,24,828
2021-11-18 06:45:00,2.6,1674.0,300,-0.7,23,828
2021-11-18 07:00:00,2.6,1673.0,300,-0.6,23,828
2021-11-18 07:15:00,2.6,1678.0,300,-0.6,23,828
2021-11-18 07:30:00,2.6,1688.0,300,-0.7,23,828
2021-11-18 07:45:00,2.6,1698.0,300,-0.8,23,828
2021-11-18 08:00:00,2.6,1709.0,300,-0.9,23,828
2021-11-18 08:15:00,2.6,1817.0,300,-0.9,23,828
2021-11-18 08:30:00,2.6,2023.0,300,-0.9,23,828
2021-11-18 08:45:00,2.7,2229.0,300,-1.0,22,829
2021-11-18 09:00:00,2.7,2435.0,300,-1.0,22,829
2021-11-18 09:15:00,2.7,3208.0,296,-0.6,21,829
2021-11-18 09:30:00,2.7,4546.0,289,0.1,20,829
2021-11-18 09:45:00,2.8,5886.0,281,0.8,19,829
2021-11-18 10:00:00,2.8,7224.0,274,1.5,18,829
2021-11-18 10:15:00,2.8,9346.0,270,2.4,17,829
2021-11-18 10:30:00,2.8,12250.0,270,3.3,16,829
2021-11-18 10:45:00,2.9,15154.0,270,4.2,15,830
2021-11-18 11:00:00,2.9,18058.0,270,5.1,14,830
2021-11-18 11:15:00,3.0,21300.0,270,5.9,13,830
2021-11-18 11:30:00,3.1,24882.0,270,6.4,13,830
2021-11-18 11:45:00,3.2,28462.0,270,7.0,12,829
2021-11-18 12:00:00,3.3,32044.0,270,7.5,12,829
2021-11-18 12:15:00,3.4,36461.0,270,7.9,12,829
2021-11-18 12:30:00,3.5,41714.0,270,8.2,12,829
2021-11-18 12:45:00,3.7,46967.0,270,8.4,11,829
2021-11-18 13:00:00,3.8,52221.0,270,8.7,11,829
2021-11-18 13:15:00,4.0,56207.0,270,8.8,11,829
2021-11-18 13:30:00,4.3,58927.0,270,8.7,11,829
2021-11-18 13:45:00,4.5,61648.0,270,8.6,12,829
2021-11-18 14:00:00,4.8,64368.0,270,8.5,12,829
2021-11-18 14:15:00,4.9,66530.0,270,8.4,12,829
2021-11-18 14:30:00,4.8,68136.0,270,8.5,12,829
2021-11-18 14:45:00,4.7,69742.0,270,8.5,12,829
2021-11-18 15:00:00,4.6,69564.0,270,8.6,12,829
2021-11-18 15:15:00,4.5,67819.0,270,8.5,12,829
2021-11-18 15:30:00,4.5,65448.0,270,8.3,13,829
2021-11-18 15:45:00,4.4,63963.0,270,8.0,14,830
2021-11-18 16:00:00,4.4,64296.0,270,7.8,15,830
2021-11-18 16:15:00,4.4,64285.0,270,7.5,16,830
2021-11-18 16:30:00,4.4,63930.0,270,7.1,17,830
2021-11-18 16:45:00,4.5,63575.0,270,6.6,19,831
2021-11-18 17:00:00,4.5,63221.0,270,6.2,20,831
2021-11-18 17:15:00,4.7,63619.0,270,5.7,22,831
2021-11-18 17:30:00,5.0,64771.0,270,5.0,23,832
2021-11-18 17:45:00,5.3,65923.0,270,4.3,25,832
2021-11-18 18:00:00,5.6,67075.0,270,3.6,26,833
2021-11-18 18:15:00,6.0,68015.0,270,3.1,27,833
2021-11-18 18:30:00,6.4,68741.0,270,2.6,27,834
2021-11-18 18:45:00,6.8,69467.0,270,2.2,28,834
2021-11-18 19:00:00,7.2,70193.0,270,1.7,28,835
2021-11-18 19:15:00,7.6,69061.0,270,1.3,29,835
2021-11-18 19:30:00,8.0,66070.0,270,0.9,30,836
2021-11-18 19:45:00,8.5,63078.0,270,0.4,31,836
2021-11-18 20:00:00,8.9,60087.0,270,0.0,32,837
2021-11-18 20:15:00,9.0,56956.0,270,-0.3,34,837
2021-11-18 20:30:00,8.9,53685.0,270,-0.4,36,837
2021-11-18 20:45:00,8.8,50415.0,270,-0.5,39,838
2021-11-18 21:00:00,8.7,47145.0,270,-0.6,41,838
2021-11-18 21:15:00,8.6,43726.0,270,-0.7,42,838
2021-11-18 21:30:00,8.5,40160.0,270,-0.8,42,838
2021-11-18 21:45:00,8.4,37638.0,270,-0.9,43,838
2021-11-18 22:00:00,8.3,35385.0,270,-1.0,43,838
2021-11-18 22:15:00,8.2,33891.0,270,-1.1,44,838
2021-11-18 22:30:00,8.1,32870.0,270,-1.3,45,838
2021-11-18 22:45:00,8.0,30979.0,270,-1.5,46,838
2021-11-18 23:00:00,7.9,29089.0,270,-1.7,47,838
2021-11-18 23:15:00,7.7,26714.0,270,-1.9,48,838
2021-11-18 23:30:00,7.3,23858.0,270,-2.2,49,838
2021-11-18 23:45:00,7.0,21000.0,270,-2.4,50,838
